"filename", "language", "XML", "C#", "JSON", "Properties", "HTML", "Markdown", "MS SQL", "comment", "blank", "total"
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\bin\Debug\ClosedXML.xml", "XML", 7817, 0, 0, 0, 0, 0, 0, 0, 2, 7819
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\bin\Debug\DocumentFormat.OpenXml.xml", "XML", 260719, 0, 0, 0, 0, 0, 0, 0, 4, 260723
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\bin\Debug\ExcelNumberFormat.xml", "XML", 110, 0, 0, 0, 0, 0, 0, 0, 1, 111
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\bin\Debug\SixLabors.Fonts.xml", "XML", 11499, 0, 0, 0, 0, 0, 0, 0, 1, 11500
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\bin\Debug\System.Buffers.xml", "XML", 38, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\bin\Debug\System.IO.Packaging.xml", "XML", 435, 0, 0, 0, 0, 0, 0, 0, 1, 436
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\bin\Debug\System.Memory.xml", "XML", 353, 0, 0, 0, 0, 0, 0, 0, 2, 355
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\bin\Debug\System.Numerics.Vectors.xml", "XML", 2621, 0, 0, 0, 0, 0, 0, 0, 0, 2621
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\bin\Debug\System.Runtime.CompilerServices.Unsafe.xml", "XML", 252, 0, 0, 0, 0, 0, 0, 0, 0, 252
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\bin\Debug\itextsharp.xml", "XML", 37052, 0, 0, 0, 0, 0, 0, 501, 960, 38513
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\obj\Debug\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\obj\Release\.NETFramework,Version=v4.7.2.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnAutor.Designer.cs", "C#", 0, 199, 0, 0, 0, 0, 0, 59, 6, 264
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnAutor.cs", "C#", 0, 19, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnCategoria.Designer.cs", "C#", 0, 334, 0, 0, 0, 0, 0, 92, 6, 432
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnCategoria.cs", "C#", 0, 244, 0, 0, 0, 0, 0, 4, 21, 269
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnCliente.Designer.cs", "C#", 0, 443, 0, 0, 0, 0, 0, 128, 6, 577
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnCliente.cs", "C#", 0, 351, 0, 0, 0, 0, 0, 4, 26, 381
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnCompra.Designer.cs", "C#", 0, 540, 0, 0, 0, 0, 0, 155, 6, 701
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnCompra.cs", "C#", 0, 334, 0, 0, 0, 0, 0, 0, 17, 351
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnGraficaCompras.Designer.cs", "C#", 0, 85, 0, 0, 0, 0, 0, 26, 6, 117
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnGraficaCompras.cs", "C#", 0, 38, 0, 0, 0, 0, 0, 0, 3, 41
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnGraficaVentas.Designer.cs", "C#", 0, 85, 0, 0, 0, 0, 0, 26, 6, 117
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnGraficaVentas.cs", "C#", 0, 39, 0, 0, 0, 0, 0, 0, 3, 42
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnInventario.Designer.cs", "C#", 0, 407, 0, 0, 0, 0, 0, 116, 6, 529
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnInventario.cs", "C#", 0, 393, 0, 0, 0, 0, 0, 6, 28, 427
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnLogin.Designer.cs", "C#", 0, 185, 0, 0, 0, 0, 0, 53, 8, 246
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnLogin.cs", "C#", 0, 108, 0, 0, 0, 0, 0, 0, 8, 116
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnMenu.Designer.cs", "C#", 0, 520, 0, 0, 0, 0, 0, 176, 5, 701
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnMenu.cs", "C#", 0, 153, 0, 0, 0, 0, 0, 0, 18, 171
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnNegocio.Designer.cs", "C#", 0, 218, 0, 0, 0, 0, 0, 68, 6, 292
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnNegocio.cs", "C#", 0, 126, 0, 0, 0, 0, 0, 0, 10, 136
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnOferta.Designer.cs", "C#", 0, 459, 0, 0, 0, 0, 0, 134, 6, 599
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnOferta.cs", "C#", 0, 315, 0, 0, 0, 0, 0, 5, 28, 348
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnProducto.Designer.cs", "C#", 0, 488, 0, 0, 0, 0, 0, 143, 6, 637
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnProducto.cs", "C#", 0, 418, 0, 0, 0, 0, 0, 6, 29, 453
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnPrograma.Designer.cs", "C#", 0, 178, 0, 0, 0, 0, 0, 53, 6, 237
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnPrograma.cs", "C#", 0, 43, 0, 0, 0, 0, 0, 0, 5, 48
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnProveedor.Designer.cs", "C#", 0, 443, 0, 0, 0, 0, 0, 128, 6, 577
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnProveedor.cs", "C#", 0, 347, 0, 0, 0, 0, 0, 4, 29, 380
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnReclamo.Designer.cs", "C#", 0, 367, 0, 0, 0, 0, 0, 107, 5, 479
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnReclamo.cs", "C#", 0, 193, 0, 0, 0, 0, 0, 3, 20, 216
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnRecuperarClave.Designer.cs", "C#", 0, 107, 0, 0, 0, 0, 0, 32, 6, 145
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnRecuperarClave.cs", "C#", 0, 47, 0, 0, 0, 0, 0, 0, 3, 50
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnReportesCompras.Designer.cs", "C#", 0, 390, 0, 0, 0, 0, 0, 116, 6, 512
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnReportesCompras.cs", "C#", 0, 154, 0, 0, 0, 0, 0, 3, 12, 169
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnReportesVentas.Designer.cs", "C#", 0, 330, 0, 0, 0, 0, 0, 98, 6, 434
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnReportesVentas.cs", "C#", 0, 127, 0, 0, 0, 0, 0, 1, 10, 138
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnSucursal.Designer.cs", "C#", 0, 435, 0, 0, 0, 0, 0, 119, 5, 559
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnSucursal.cs", "C#", 0, 406, 0, 0, 0, 0, 0, 4, 33, 443
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnTransportista.Designer.cs", "C#", 0, 477, 0, 0, 0, 0, 0, 137, 6, 620
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnTransportista.cs", "C#", 0, 383, 0, 0, 0, 0, 0, 4, 28, 415
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnUnidadMedida.Designer.cs", "C#", 0, 347, 0, 0, 0, 0, 0, 98, 6, 451
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnUnidadMedida.cs", "C#", 0, 251, 0, 0, 0, 0, 0, 4, 21, 276
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnUsuarios.Designer.cs", "C#", 0, 410, 0, 0, 0, 0, 0, 119, 6, 535
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnUsuarios.cs", "C#", 0, 302, 0, 0, 0, 0, 0, 5, 24, 331
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnVenta.Designer.cs", "C#", 0, 570, 0, 0, 0, 0, 0, 164, 6, 740
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnVenta.cs", "C#", 0, 428, 0, 0, 0, 0, 0, 0, 18, 446
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnVerDetalleCompras.Designer.cs", "C#", 0, 402, 0, 0, 0, 0, 0, 113, 6, 521
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnVerDetalleCompras.cs", "C#", 0, 140, 0, 0, 0, 0, 0, 0, 17, 157
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnVerDetalleVentas.Designer.cs", "C#", 0, 416, 0, 0, 0, 0, 0, 119, 6, 541
"c:\Users\herma\source\repos\SistemaVenta\App\Presentacion\vtnVerDetalleVentas.cs", "C#", 0, 143, 0, 0, 0, 0, 0, 0, 15, 158
"c:\Users\herma\source\repos\SistemaVenta\App\Test\MSTestSettings.cs", "C#", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\herma\source\repos\SistemaVenta\App\Test\Test.csproj", "XML", 21, 0, 0, 0, 0, 0, 0, 0, 6, 27
"c:\Users\herma\source\repos\SistemaVenta\App\Test\TestCompra.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\herma\source\repos\SistemaVenta\App\Test\TestProducto.cs", "C#", 0, 49, 0, 0, 0, 0, 0, 0, 9, 58
"c:\Users\herma\source\repos\SistemaVenta\App\Test\TestUsuario.cs", "C#", 0, 40, 0, 0, 0, 0, 0, 0, 10, 50
"c:\Users\herma\source\repos\SistemaVenta\App\Test\TestVenta.cs", "C#", 0, 13, 0, 0, 0, 0, 0, 0, 3, 16
"c:\Users\herma\source\repos\SistemaVenta\App\Test\bin\Debug\net8.0\Microsoft.VisualStudio.TestPlatform.TestFramework.Extensions.xml", "XML", 174, 0, 0, 0, 0, 0, 0, 0, 1, 175
"c:\Users\herma\source\repos\SistemaVenta\App\Test\bin\Debug\net8.0\Test.deps.json", "JSON", 0, 0, 1495, 0, 0, 0, 0, 0, 0, 1495
"c:\Users\herma\source\repos\SistemaVenta\App\Test\bin\Debug\net8.0\Test.runtimeconfig.json", "JSON", 0, 0, 12, 0, 0, 0, 0, 0, 0, 12
"c:\Users\herma\source\repos\SistemaVenta\App\Test\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 0, 0, 0, 1, 1, 5
"c:\Users\herma\source\repos\SistemaVenta\App\Test\obj\Debug\net8.0\Test.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 0, 0, 0, 10, 5, 24
"c:\Users\herma\source\repos\SistemaVenta\App\Test\obj\Debug\net8.0\Test.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 15, 0, 0, 0, 0, 1, 16
"c:\Users\herma\source\repos\SistemaVenta\App\Test\obj\Debug\net8.0\Test.GlobalUsings.g.cs", "C#", 0, 8, 0, 0, 0, 0, 0, 1, 1, 10
"c:\Users\herma\source\repos\SistemaVenta\App\Test\obj\Debug\net8.0\Test.sourcelink.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\herma\source\repos\SistemaVenta\App\Test\obj\Test.csproj.nuget.dgspec.json", "JSON", 0, 0, 134, 0, 0, 0, 0, 0, 0, 134
"c:\Users\herma\source\repos\SistemaVenta\App\Test\obj\Test.csproj.nuget.g.props", "XML", 28, 0, 0, 0, 0, 0, 0, 0, 0, 28
"c:\Users\herma\source\repos\SistemaVenta\App\Test\obj\Test.csproj.nuget.g.targets", "XML", 10, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\Users\herma\source\repos\SistemaVenta\App\Test\obj\project.assets.json", "JSON", 0, 0, 3988, 0, 0, 0, 0, 0, 0, 3988
"c:\Users\herma\source\repos\SistemaVenta\App\packages\BouncyCastle.1.8.9\README.md", "Markdown", 0, 0, 0, 0, 0, 17, 0, 0, 14, 31
"c:\Users\herma\source\repos\SistemaVenta\App\packages\ClosedXML.0.102.2\lib\netstandard2.0\ClosedXML.xml", "XML", 7817, 0, 0, 0, 0, 0, 0, 0, 2, 7819
"c:\Users\herma\source\repos\SistemaVenta\App\packages\ClosedXML.0.102.2\lib\netstandard2.1\ClosedXML.xml", "XML", 7817, 0, 0, 0, 0, 0, 0, 0, 2, 7819
"c:\Users\herma\source\repos\SistemaVenta\App\packages\DocumentFormat.OpenXml.2.16.0\lib\net35\DocumentFormat.OpenXml.xml", "XML", 260731, 0, 0, 0, 0, 0, 0, 0, 4, 260735
"c:\Users\herma\source\repos\SistemaVenta\App\packages\DocumentFormat.OpenXml.2.16.0\lib\net40\DocumentFormat.OpenXml.xml", "XML", 260725, 0, 0, 0, 0, 0, 0, 0, 4, 260729
"c:\Users\herma\source\repos\SistemaVenta\App\packages\DocumentFormat.OpenXml.2.16.0\lib\net46\DocumentFormat.OpenXml.xml", "XML", 260719, 0, 0, 0, 0, 0, 0, 0, 4, 260723
"c:\Users\herma\source\repos\SistemaVenta\App\packages\DocumentFormat.OpenXml.2.16.0\lib\netstandard1.3\DocumentFormat.OpenXml.xml", "XML", 260677, 0, 0, 0, 0, 0, 0, 0, 4, 260681
"c:\Users\herma\source\repos\SistemaVenta\App\packages\DocumentFormat.OpenXml.2.16.0\lib\netstandard2.0\DocumentFormat.OpenXml.xml", "XML", 260719, 0, 0, 0, 0, 0, 0, 0, 4, 260723
"c:\Users\herma\source\repos\SistemaVenta\App\packages\ExcelNumberFormat.1.1.0\lib\net20\ExcelNumberFormat.xml", "XML", 110, 0, 0, 0, 0, 0, 0, 0, 1, 111
"c:\Users\herma\source\repos\SistemaVenta\App\packages\ExcelNumberFormat.1.1.0\lib\netstandard1.0\ExcelNumberFormat.xml", "XML", 110, 0, 0, 0, 0, 0, 0, 0, 1, 111
"c:\Users\herma\source\repos\SistemaVenta\App\packages\ExcelNumberFormat.1.1.0\lib\netstandard2.0\ExcelNumberFormat.xml", "XML", 110, 0, 0, 0, 0, 0, 0, 0, 1, 111
"c:\Users\herma\source\repos\SistemaVenta\App\packages\SixLabors.Fonts.1.0.0\lib\netcoreapp3.1\SixLabors.Fonts.xml", "XML", 11311, 0, 0, 0, 0, 0, 0, 0, 1, 11312
